Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_011446.png,GO,GO,GO,STOP,GO
town7_011447.png,STOP,STOP,STOP,STOP,GO
town7_011525.png,GO,GO,GO,GO,RIGHT
town7_011531.png,GO,GO,GO,GO,RIGHT
town7_011539.png,GO,GO,GO,GO,RIGHT
town7_011545.png,GO,GO,GO,GO,RIGHT
town7_011627.png,GO,GO,GO,GO,LEFT
town7_011628.png,GO,GO,GO,GO,LEFT
town7_011634.png,GO,GO,GO,GO,LEFT
town7_011636.png,GO,GO,GO,GO,LEFT
town7_011637.png,GO,GO,GO,GO,LEFT
town7_011814.png,GO,GO,GO,GO,LEFT
town7_011819.png,GO,GO,GO,GO,LEFT
town7_011855.png,GO,GO,GO,GO,STOP
town7_011860.png,GO,GO,GO,GO,STOP
town7_011862.png,GO,GO,GO,GO,STOP
town7_011864.png,GO,GO,GO,GO,STOP
town7_011870.png,GO,GO,GO,GO,STOP
town7_011898.png,GO,GO,GO,GO,STOP
town7_011912.png,GO,GO,GO,GO,LEFT
town7_011955.png,GO,GO,GO,GO,RIGHT
town7_011958.png,GO,GO,GO,GO,LEFT
town7_011960.png,GO,GO,GO,GO,LEFT
town7_012032.png,GO,GO,GO,GO,LEFT
town7_012056.png,GO,STOP,STOP,STOP,GO
town7_012060.png,STOP,STOP,STOP,STOP,GO
town7_012061.png,STOP,STOP,STOP,STOP,GO
town7_012087.png,GO,STOP,STOP,STOP,STOP
town7_012090.png,GO,GO,GO,GO,LEFT
town7_012091.png,GO,GO,GO,GO,LEFT
town7_012094.png,GO,GO,GO,GO,LEFT
town7_012096.png,GO,GO,GO,GO,LEFT
